Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,9.6246,2.3367,9.3366,17.2873,0,0
6,17.2999992370605,8.2867,2.3262,-7.9535,-12.6663,0,0
9,-17.2999992370605,26.7426,2.3113,26.6425,47.2681,0,0
12,17.2999992370605,8.2925,2.3345,-7.9571,-12.6725,0,0
15,8,2.7011,2.3391,1.3508,2.3804,25,25
18,17.2999992370605,8.2994,2.3288,-7.966,-12.6879,0,25
21,8,2.6962,2.3404,1.3387,2.3593,25,50
24,0,9.6147,2.3193,9.3308,17.2771,0,50
27,8,2.6927,2.3318,1.3466,2.3731,25,75
30,17.2999992370605,8.2934,2.3455,-7.9548,-12.6685,0,75
33,8,2.6681,2.3116,1.3325,2.3486,25,100
36,-8,17.5052,2.3417,17.3479,32.2382,0,100
39,17.2999992370605,8.2846,2.3274,-7.9509,-12.6617,0,100
42,8,2.6773,2.3151,1.3448,2.37,25,125
45,-17.2999992370605,26.7561,2.359,26.6519,47.2844,0,125
48,0,9.6288,2.3256,9.3437,17.2996,0,125
51,8,2.6779,2.3177,1.3414,2.3641,25,150
54,17.2999992370605,8.2834,2.3392,-7.9463,-12.6536,0,150
57,0,9.6318,2.3381,9.3437,17.2995,0,150
18,0,5.3624,-5.3283,-0.6033,-1.1521,0,0
3,0,15.653,-1.0169,-15.6199,-27.5044,0,0
6,-8,3.1478,0.9069,-3.0144,-5.2291,10,10
9,17.2999992370605,11.5265,1.3937,-11.442,-18.9216,0,10
12,-8,2.1769,0.357,-2.1474,-3.7565,50,60
15,8,2.0748,1.5381,-1.3926,-2.5105,50,110
18,-8,1.5707,-0.7644,-1.3721,-2.4176,50,160
21,17.2999992370605,1.8711,1.6145,-0.9457,-1.3738,50,210
24,0,0.6246,-0.1067,0.6154,1.1752,90,300
27,8,1.3742,0.7555,-1.1478,-2.0654,50,350
30,-17.2999992370605,0.8606,0.5238,0.6828,0.9882,75,425
33,0,3.5294,1.6124,3.1396,5.9744,10,435
36,17.2999992370605,2.8279,1.3753,2.471,3.4155,25,460
39,-8,2.5629,0.9885,2.3645,4.2925,25,485
42,0,3.8962,0.3563,-3.8799,-7.3691,10,495
45,-17.2999992370605,1.0993,-0.3001,1.0576,1.5389,75,570
48,0,2.2429,1.3222,1.8117,3.4558,50,620
51,-17.2999992370605,3.2972,-0.3609,3.2774,4.9183,10,630
54,8,1.8747,1.6369,-0.9138,-1.6413,50,680
57,0,2.7117,-0.0752,-2.7107,-5.163,25,705
