Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,50.6191,-9.6515,49.6905,58.8791,0,0
9,0,50.6191,-9.6515,49.6905,58.8791,0,0
3,0,45.6975,5.9645,45.3066,56.4893,0,0
6,-17.2999992370605,27.4138,0.6313,27.4065,48.5884,0,0
9,-8,5.0836,0.2527,5.0773,9.367,0,0
12,-17.2999992370605,2.3255,1.7969,1.4763,2.1609,25,25
15,17.2999992370605,7.0595,1.5605,6.8848,8.9038,0,25
18,-8,0.5321,0.5265,0.0769,0.1372,90,115
21,17.2999992370605,1.5769,1.5218,0.4134,0.5889,50,165
24,0,7.1711,1.6345,-6.9824,-13.1021,0,165
27,8,1.5169,1.3519,0.688,1.2196,50,215
30,-8,0.8426,0.4408,-0.7181,-1.2727,75,290
33,8,2.0244,1.5233,-1.3334,-2.4027,50,340
36,-17.2999992370605,5.5773,1.803,5.2778,8.1327,0,340
39,-8,2.2702,-1.0005,-2.0378,-3.5686,25,365
42,-17.2999992370605,1.7208,1.2249,-1.2086,-1.702,50,415
45,17.2999992370605,1.9376,1.5943,-1.1011,-1.6033,50,465
48,-17.2999992370605,2.566,0.0425,-2.5656,-3.5414,25,490
51,0,1.9611,1.0887,-1.6312,-3.1123,50,540
54,-8,3.625,1.0744,-3.4621,-5.979,10,550
57,8,2.9424,2.1362,-2.0234,-3.6645,25,575
