Time, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,6.9075,3.8871,-5.71,20.8401,0,0
6,4.5702,4.4628,-0.9848,3.7562,0,0
9,4.7926,0.6477,-4.7486,17.5665,0,0
12,2.9635,2.8688,-0.7434,2.8372,25,25
15,1.7555,1.6851,-0.4921,1.879,50,75
18,2.8031,2.6892,0.7907,3.0174,25,100
21,3.5923,3.5325,0.6529,2.4923,10,110
24,3.9278,3.66,-1.4254,5.4282,10,120
27,1.5486,1.1737,1.0103,3.8532,50,170
30,2.5614,1.374,2.1617,8.2008,25,195
33,3.8733,3.8652,-0.2517,0.9615,10,205
36,6.4082,4.756,-4.2948,15.9776,0,205
39,3.611,3.6057,0.1949,0.7444,10,215
42,3.996,3.4723,1.9776,7.5106,0,215
45,0.756,0.5393,0.5298,2.0228,75,290
48,0.449,0.1441,-0.4253,1.624,90,380
51,3.5588,2.7434,-2.2669,8.5938,10,390
54,2.2962,2.2958,0.0408,0.1557,25,415
57,3.2285,3.0688,-1.003,3.8253,10,425
60,3.6213,2.9808,2.0564,7.8063,10,435
63,3.0074,3.0058,-0.0969,0.3703,10,445
66,4.8389,4.1907,2.4193,9.1623,0,445
69,4.2427,4.0109,-1.3832,5.2685,0,445
72,5.8921,5.7781,-1.1532,4.3964,0,445
75,1.3996,1.1615,-0.781,2.9806,50,495
78,1.7672,1.6578,0.6122,2.3371,50,545
81,3.2159,2.5853,1.9127,7.2668,10,555
84,4.1983,3.6219,-2.1232,8.0563,0,555
87,4.5917,4.5907,-0.0921,0.3518,0,555
90,3.9638,3.7855,1.1755,4.481,0,555
93,7.3817,4.7372,5.6612,20.6772,0,555
96,4.8912,4.7619,1.117,4.2587,0,555
99,3.8951,1.8881,-3.407,12.7965,10,565
102,2.5143,2.4914,-0.3388,1.294,25,590
105,5.2706,4.1171,3.2907,12.3737,0,590
108,3.4059,3.3901,0.3282,1.2534,10,600
111,0.6247,-0.2214,0.5842,2.2303,90,690
114,2.4813,0.7659,-2.3601,8.9417,25,715
117,1.6733,0.8408,1.4467,5.509,50,765
