Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,8,5.7086,-5.5953,-1.1318,-2.0363,144,144
6,-17.2999992370605,24.8075,-5.5953,24.1682,42.8657,626,770
9,0,8.8589,-5.5953,6.8682,12.8951,224,994
12,17.2999992370605,11.8376,-5.5953,-10.4318,-17.0755,299,1293
15,-17.2999992370605,24.8075,-5.5953,24.1682,42.8657,626,1919
18,-8,15.8862,-5.5953,14.8682,27.8265,401,2320
21,8,5.7086,-5.5953,-1.1318,-2.0363,144,2464
3,-8,15.8862,-5.5953,14.8682,27.8265,0,0
6,0,8.8589,-5.5953,6.8682,12.8951,0,0
9,-17.2999992370605,24.8075,-5.5953,24.1682,42.8657,0,0
12,-8,15.8862,-5.5953,14.8682,27.8265,0,0
15,17.2999992370605,11.8376,-5.5953,-10.4318,-17.0755,0,0
18,0,8.8589,-5.5953,6.8682,12.8951,0,0
21,-8,15.8862,-5.5953,14.8682,27.8265,0,0
24,17.2999992370605,11.8376,-5.5953,-10.4318,-17.0755,0,0
27,-17.2999992370605,24.8075,-5.5953,24.1682,42.8657,0,0
30,8,5.7086,-5.5953,-1.1318,-2.0363,0,0
33,17.2999992370605,11.8376,-5.5953,-10.4318,-17.0755,0,0
36,-8,15.8862,-5.5953,14.8682,27.8265,0,0
39,17.2999992370605,11.8376,-5.5953,-10.4318,-17.0755,0,0
42,0,8.8589,-5.5953,6.8682,12.8951,0,0
