Time, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,10.0945,-1.684,-9.953,33.5656,0,0
6,6.0593,4.0748,-4.4846,16.6451,0,0
9,11.0132,-1.2367,-10.9435,36.1133,0,0
12,6.5337,-0.3286,-6.5254,23.5104,0,0
15,10.7945,-1.2178,-10.7256,35.5662,0,0
18,4.2675,2.9373,-3.0957,11.661,0,0
21,4.9226,4.711,-1.4277,5.4372,0,0
24,2.9156,1.9471,-2.1701,8.2321,25,25
27,4.8572,2.5391,-4.1407,15.432,0,25
30,6.1979,4.1784,-4.5777,16.9711,0,25
33,3.9158,-1.6675,-3.543,13.2898,10,35
36,3.1731,-1.6937,-2.6832,10.142,10,45
39,3.4372,2.9598,-1.7477,6.6457,10,55
42,6.7009,2.4842,-6.2234,22.5332,0,55
45,4.9868,4.9582,-0.5334,2.0365,0,55
48,3.6516,1.0111,-3.5088,13.1658,10,65
51,2.5679,1.561,2.039,7.7409,25,90
54,3.4849,1.7763,-2.9982,11.3035,10,100
57,1.8039,1.5033,-0.997,3.8027,50,150
60,4.15,3.9078,-1.3971,5.3211,0,150
63,1.9966,1.8889,0.6468,2.469,50,200
66,1.2133,1.1713,0.3164,1.2085,75,275
69,1.3944,1.2136,-0.6867,2.6212,50,325
72,2.74,0.7016,2.6486,10.0138,25,350
75,1.2466,0.3559,-1.1947,4.5538,75,425
78,0.3555,0.3265,0.1407,0.5375,90,515
81,1.1747,-0.0518,-1.1736,4.4736,75,590
84,9.9062,2.5931,9.5608,32.5129,0,590
87,4.7157,0.6456,-4.6713,17.2978,0,590
90,3.0711,2.7175,-1.4307,5.4483,10,600
93,2.309,0.8054,2.164,8.2092,25,625
96,2.2949,1.4175,-1.8048,6.8609,25,650
99,5.0674,2.1306,-4.5977,17.0408,0,650
102,5.8622,5.7742,1.012,3.8596,0,650
105,5.0642,-0.5697,-5.032,18.545,0,650
108,2.1004,0.6603,1.9939,7.5717,50,700
111,2.776,0.802,-2.6576,10.0472,25,725
114,1.071,0.9592,0.4765,1.8196,75,800
