Time, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,3.1398,0.1763,3.1348,11.8042,10,10
6,4.5941,-3.6206,2.828,10.6767,0,10
9,4.8968,-0.7161,4.8441,17.8974,0,10
12,5.8284,1.7705,5.553,20.3145,0,10
15,4.1345,1.6248,3.8019,14.2226,0,10
18,4.4952,1.5655,4.2138,15.6912,0,10
21,1.8246,1.8229,0.0801,0.3061,50,60
24,6.3589,0.5231,6.3374,22.9036,0,60
27,2.4099,0.2778,-2.3938,9.0672,25,85
30,3.8799,-1.7875,3.4437,12.9298,10,95
33,2.5438,-2.5032,0.4527,1.7285,25,120
36,6.0893,3.8618,4.708,17.4254,0,120
39,5.1326,1.783,4.8129,17.7894,0,120
42,5.0244,-1.4263,4.8177,17.8058,0,120
45,5.0991,1.465,4.8841,18.0356,0,120
48,7.5083,5.2022,5.4141,19.8464,0,120
51,5.4319,-1.2264,5.2916,19.4315,0,120
54,3.2352,-0.3083,3.2205,12.1174,10,130
57,7.7301,-6.8046,3.6679,13.7406,0,130
60,4.3316,2.5822,3.4777,13.0533,0,130
63,2.2104,1.5298,1.5956,6.0718,50,180
66,1.7061,1.1372,1.2719,4.8468,50,230
69,3.5772,1.0199,3.4288,12.8757,10,240
72,4.6172,2.1624,4.0795,15.2147,0,240
75,5.6893,4.0542,3.9914,14.9007,0,240
78,2.26,1.219,1.903,7.2304,25,265
81,1.11,-0.3847,-1.0412,3.9706,75,340
84,3.722,1.4942,3.4089,12.8036,10,350
87,0.7585,-0.5422,-0.5304,2.025,75,425
90,3.9202,0.2354,3.9131,14.6212,10,435
93,3.4407,1.3243,3.1756,11.9535,10,445
96,3.9088,3.4584,1.8215,6.9239,10,455
99,2.0129,-1.6094,-1.209,4.6081,50,505
102,2.6008,0.9876,2.4059,9.1124,25,530
105,2.0638,-1.4361,1.4823,5.6436,50,580
108,4.0701,-0.1492,4.0673,15.1712,0,580
111,2.143,-1.7878,-1.1816,4.504,50,630
114,2.0022,0.2043,1.9918,7.5637,50,680
117,3.4254,3.0017,1.6503,6.2784,10,690
120,2.2352,2.1566,0.5878,2.2439,50,740
123,3.5589,2.8095,2.1845,8.286,10,750
