Time, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,15.2033,3.9305,-14.6865,44.3949,0,0
6,10.3339,0.308,-10.3293,34.552,0,0
9,22.4751,-2.4076,-22.3458,56.1278,0,0
12,16.7135,-2.6428,-16.5032,47.7319,0,0
15,17.022,1.6558,-16.9412,48.4779,0,0
18,11.5635,-1.876,-11.4104,37.2599,0,0
21,14.5488,5.6039,-13.4263,41.8312,0,0
24,6.1686,3.2015,-5.2728,19.3676,0,0
27,12.6435,4.5391,-11.8006,38.1924,0,0
30,7.4281,7.3575,1.0216,3.8961,0,0
33,5.7954,2.6645,-5.1466,18.9375,0,0
36,5.7571,4.8403,-3.117,11.7392,0,0
39,4.2843,1.5838,3.9808,14.8629,0,0
42,3.6857,1.3257,-3.439,12.913,10,10
45,1.73,1.5258,0.8153,3.1112,50,60
48,2.8987,2.8847,0.2854,1.0899,25,85
51,1.3161,1.2937,-0.2415,0.9225,75,160
54,4.8766,1.1879,4.7297,17.5009,0,160
57,1.7067,0.7154,1.5495,5.8977,50,210
60,5.7065,-0.623,-5.6724,20.7147,0,210
63,4.8273,4.2733,-2.2454,8.5135,0,210
66,2.1963,2.0598,-0.7621,2.9085,50,260
69,3.676,2.7364,-2.4547,9.294,10,270
72,3.5945,1.7678,-3.1297,11.7855,10,280
75,2.4242,2.4226,-0.0876,0.3347,25,305
78,7.7914,4.6705,-6.2363,22.5753,0,305
81,3.945,3.7699,1.1623,4.4306,10,315
84,6.9519,4.1193,5.6,20.4723,0,315
87,14.7726,4.4383,-14.0902,43.2086,0,315
90,5.1789,5.1471,-0.5727,2.1864,0,315
93,1.8006,1.4854,1.0177,3.8814,50,365
96,2.0971,1.3367,-1.6159,6.1484,50,415
99,2.7239,1.5511,2.2392,8.4905,25,440
102,1.4208,1.4067,-0.1994,0.7617,50,490
105,4.0429,0.0221,4.0428,15.084,0,490
108,1.9905,1.9879,0.1013,0.3871,50,540
111,1.3817,1.0968,0.8403,3.2062,50,590
114,2.6135,2.4711,0.8507,3.2458,25,615
117,3.2108,2.4845,2.0339,7.7217,10,625
120,4.0089,1.3573,3.7721,14.1157,0,625
123,4.2144,4.211,-0.1688,0.6448,0,625
126,2.5012,1.9185,-1.6047,6.1064,25,650
129,0.6373,0.0876,-0.6313,2.4099,75,725
132,3.349,2.0176,-2.673,10.104,10,735
135,6.6612,2.8287,-6.0308,21.9026,0,735
138,3.4978,3.2428,1.3111,4.9952,10,745
141,1.9325,1.3871,-1.3455,5.1256,50,795
