Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,-8,12.7723,12.7102,-1.2577,-2.2184,0,0
6,-17.2999992370605,10.6873,-9.593,-4.711,-6.2969,0,0
9,17.2999992370605,2.0168,1.7853,-0.9382,-1.3628,50,50
12,0,2.3614,-2.293,0.5643,1.0777,25,75
15,17.2999992370605,0.5139,0.2666,0.4394,0.6258,90,165
18,-17.2999992370605,8.1487,-7.2044,-3.8076,-5.1591,0,165
21,0,1.5757,-0.6639,-1.429,-2.7271,50,215
24,17.2999992370605,2.1253,1.0835,-1.8284,-2.6895,50,265
27,-8,8.3995,7.6781,-3.4056,-5.8847,0,265
30,-17.2999992370605,1.372,-0.9646,-0.9756,-1.3787,50,315
33,0,1.0312,-0.8327,-0.6083,-1.1615,75,390
36,17.2999992370605,1.3842,1.3809,0.0955,0.1367,50,440
39,-8,3.1193,3.0339,-0.7246,-1.2841,10,450
42,8,2.1869,-1.9114,-1.0626,-1.9108,50,500
45,0,1.6006,1.5144,0.5183,0.9897,50,550
48,8,0.5063,0.2973,0.4098,0.7281,90,640
51,-17.2999992370605,15.4079,-5.036,-14.5617,-16.7531,0,640
54,0,2.0735,-0.0787,-2.072,-3.9509,50,690
57,-8,1.7725,1.0484,-1.4292,-2.5169,50,740
3,17.2999992370605,13.6717,11.4841,7.4182,9.5159,0,0
6,-17.2999992370605,9.4225,-8.3393,-4.3862,-5.8916,0,0
9,-8,4.6017,4.5968,0.2119,0.3785,0,0
12,8,0.5457,0.4448,0.3161,0.5622,90,90
15,17.2999992370605,1.6078,-0.0013,1.6078,2.251,50,140
18,0,1.5129,1.0938,1.0453,1.9955,50,190
21,17.2999992370605,2.3564,1.3213,-1.9511,-2.875,25,215
24,-17.2999992370605,1.2893,1.2414,-0.3482,-0.4965,75,290
27,-8,0.2054,-0.1878,0.0831,0.1483,100,390
30,8,1.3026,0.9318,-0.9102,-1.6349,75,465
33,0,1.4295,1.1579,0.8382,1.6005,50,515
36,8,0.8163,0.7351,-0.3548,-0.6345,75,590
39,-8,0.2676,0.2175,-0.1558,-0.2775,100,690
42,8,0.8496,0.586,0.6152,1.0912,75,765
45,-17.2999992370605,1.1269,0.9999,-0.5197,-0.7393,75,840
48,0,1.2575,-0.5172,1.1462,2.188,75,915
51,8,1.3903,1.2073,-0.6893,-1.236,50,965
54,0,0.8778,0.0116,0.8777,1.6758,75,1040
57,17.2999992370605,1.6497,1.646,-0.1112,-0.1596,50,1090
