Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,0,11.5612,7.4774,-8.8175,-16.379,0,0
6,-8,20.7432,-20.6099,2.3475,4.2611,0,0
9,8,22.781,-18.0524,13.8956,21.1925,0,0
12,0,7.7731,-7.7171,0.9318,1.7791,0,0
15,-8,1.6546,1.5847,-0.4758,-0.8449,50,50
18,0,2.9673,-0.7365,2.8744,5.473,25,75
21,-8,4.0941,-2.7149,-3.0646,-5.3135,0,75
24,17.2999992370605,6.079,4.1999,4.395,5.9025,0,75
27,-17.2999992370605,15.5793,-10.7273,-11.2978,-13.6586,0,75
30,-8,7.8283,5.9598,5.0757,9.364,0,75
33,8,11.1991,-7.0251,-8.7216,-16.3093,0,75
36,0,11.8105,8.1912,8.5084,15.8341,0,75
39,-8,19.9035,-11.4735,-16.2637,-24.0342,0,75
42,-17.2999992370605,19.9632,-4.9156,-19.3486,-20.7261,0,75
45,-8,5.934,2.3988,5.4275,10.0303,0,75
48,-17.2999992370605,10.3727,-6.376,-8.1817,-10.3736,0,75
51,8,3.2703,2.952,1.4073,2.4788,10,85
54,-8,2.2142,-2.2135,-0.0562,-0.1002,50,135
57,0,1.7635,1.0054,1.4488,2.7648,50,185
6,-17.2999992370605,17.6836,6.1116,-16.5939,-18.5169,0,0
9,8,1.9285,0.3335,-1.8994,-3.4369,50,50
12,-8,5.9997,5.0554,-3.231,-5.5929,0,50
15,-17.2999992370605,4.0607,-1.6338,-3.7175,-5.0439,0,50
18,8,3.5242,-0.188,-3.5192,-6.4366,10,60
21,17.2999992370605,4.0372,3.4491,-2.0982,-3.098,0,60
24,0,6.2956,-4.9994,-3.8264,-7.2686,0,60
27,8,6.9297,6.8813,-0.8176,-1.4674,0,60
30,17.2999992370605,2.6011,-2.4127,-0.9719,-1.4125,25,85
33,-17.2999992370605,3.7725,3.6168,-1.0727,-1.5136,10,95
36,8,3.7353,1.688,-3.3321,-6.0873,10,105
39,-8,0.9512,-0.027,-0.9509,-1.6817,75,180
42,8,1.0136,0.9161,0.4336,0.7704,75,255
45,0,1.754,1.1661,-1.3103,-2.5009,50,305
48,17.2999992370605,4.6898,3.504,-3.117,-4.6674,0,305
51,0,2.5122,1.0245,-2.2938,-4.3724,25,330
54,-17.2999992370605,4.9191,-1.5859,-4.6565,-6.2291,0,330
57,0,3.3554,3.1676,1.1066,2.1124,10,340
