Time, TargetPos, Distance, Ypos, Zpos, Angle, Score, TotalScore
3,8,18.7581,8.4298,16.7572,24.5994,0,0
6,-8,15.4755,-13.2169,8.0501,15.0271,0,0
9,8,6.6352,-1.2329,-6.5196,-12.1064,0,0
12,17.2999992370605,3.9198,2.6696,2.8702,3.9438,10,10
15,0,5.2693,1.6905,-4.9908,-9.4451,0,10
18,17.2999992370605,3.049,1.231,2.7895,3.8376,10,20
21,-17.2999992370605,4.8409,3.9508,-2.7974,-3.8481,0,20
24,8,4.3491,-4.3101,0.5808,1.0306,0,20
27,0,2.3382,-0.4134,-2.3014,-4.3868,25,45
30,8,1.2639,-0.841,0.9435,1.6688,75,120
33,17.2999992370605,3.5394,3.4418,0.8253,1.1688,10,130
36,0,2.9929,1.4728,-2.6055,-4.9637,25,155
39,-17.2999992370605,2.7663,2.3245,-1.4997,-2.1029,25,180
42,8,4.4379,-3.3208,2.9441,5.1108,0,180
45,-17.2999992370605,3.9026,1.6672,-3.5286,-4.8011,10,190
48,0,9.179,2.7746,8.7496,16.2594,0,190
51,17.2999992370605,7.5917,2.7687,7.0688,9.1161,0,190
54,-17.2999992370605,7.6547,-1.6335,7.4783,11.8427,0,190
57,17.2999992370605,2.0718,2.0635,0.1855,0.2652,50,240
3,8,21.6842,16.9343,13.5437,20.7515,0,0
6,0,12.7335,-5.8294,-11.3207,-20.6743,0,0
9,17.2999992370605,4.6469,1.7085,-4.3214,-6.5764,0,0
12,8,5.1792,0.2416,-5.1735,-9.5492,0,0
15,17.2999992370605,4.4119,1.7228,-4.0616,-6.1597,0,0
18,-8,10.3506,-4.0782,-9.5133,-15.3439,0,0
21,0,6.5726,-0.0532,-6.5724,-12.3571,0,0
24,-17.2999992370605,8.2338,-6.0131,-5.6247,-7.4149,0,0
27,8,4.6717,4.3541,1.6933,2.9747,0,0
30,-17.2999992370605,1.1029,-0.8223,-0.735,-1.0423,75,75
33,8,2.7982,2.7895,-0.2212,-0.3951,25,100
36,17.2999992370605,1.4872,-0.4492,1.4177,1.9904,50,150
39,-17.2999992370605,6.7942,0.2463,-6.7898,-8.7936,0,150
42,8,2.0117,1.9356,0.548,0.9725,50,200
45,0,0.7959,0.0865,-0.7911,-1.5106,75,275
48,-8,12.1816,-4.1121,-11.4666,-18.0476,0,275
51,8,6.2535,-0.7537,-6.2079,-11.5129,0,275
54,0,13.1226,2.5743,-12.8676,-23.2154,0,275
57,-17.2999992370605,0.638,0.5047,-0.3904,-0.5563,75,350
